dx,dy,dz,eye
0.655841,0.116361,-0.745877,right
0.720662,0.132374,-0.680532,right
0.591213,0.108752,-0.799150,right
0.631012,0.018710,-0.775547,right
0.549112,0.009959,-0.835690,right
0.435326,0.013175,-0.900177,right
0.773954,0.151130,-0.614943,right
0.849547,0.057894,-0.524327,right
0.484127,0.108409,-0.868256,right
0.380691,0.100204,-0.919257,right
0.283956,0.090152,-0.954590,right
0.336465,0.021020,-0.941461,right
0.247292,0.022364,-0.968683,right
0.155195,0.033589,-0.987313,right
0.102859,-0.030382,-0.994232,right
0.200293,-0.051044,-0.978405,right
0.297229,-0.059657,-0.952941,right
0.389039,-0.076142,-0.918069,right
0.505268,-0.071171,-0.860023,right
0.590514,-0.068390,-0.804124,right
0.684818,-0.048443,-0.727103,right
0.750345,-0.023129,-0.660641,right
0.882883,0.030578,0.468597,right
0.840201,0.058726,0.539085,right
0.794134,0.090655,0.600943,right
0.763159,0.026537,0.645666,right
0.691570,0.056851,0.720069,right
0.657636,0.010239,0.753266,right
0.595568,0.044632,0.802064,right
0.525224,0.012060,0.850879,right
0.461019,-0.020060,0.887163,right
0.544396,-0.083029,0.834709,right
0.601328,-0.032601,0.798337,right
0.664645,-0.100271,0.740400,right
0.706242,-0.064849,0.704994,right
0.772884,-0.082563,0.629153,right
0.810010,-0.006865,0.586375,right
0.861469,-0.030616,0.506887,right
